Class1,Property,object
http://data.gwsw.nl/1.6/totaal/Apparatuurorientatie,hasAspect,https://data.crow.nl/imbor/def/BDB53BB7-DEFC-4055-B047-271C5EDDA82A
http://data.gwsw.nl/1.6/totaal/Apparatuurorientatie,isAspectOf,https://data.crow.nl/imbor/def/8A955BF5-0944-46D7-9DC1-F1FDFA0C1BE9
http://data.gwsw.nl/1.6/totaal/Apparatuurorientatie,hasConnection,http://data.gwsw.nl/1.6/totaal/Maaiveldorientatie
http://data.gwsw.nl/1.6/totaal/Beluchter,hasAspect,http://data.gwsw.nl/1.6/totaal/Appendage_orientatie
http://data.gwsw.nl/1.6/totaal/Beluchter,hasAspect,http://data.gwsw.nl/1.6/totaal/Energieverliescoefficient
http://data.gwsw.nl/1.6/totaal/Beluchter,isPartOf,http://data.gwsw.nl/1.6/totaal/Transportleiding
http://data.gwsw.nl/1.6/totaal/Ontluchter,isPartOf,http://data.gwsw.nl/1.6/totaal/MechanischeRioolleiding
http://data.gwsw.nl/1.6/totaal/Ontluchter,hasConnection,https://data.crow.nl/imbor/def/86C535D2-6A5F-48AF-A3D7-1B21DE0DE6C5
http://data.gwsw.nl/1.6/totaal/Ontluchter,isPartOf,http://data.gwsw.nl/1.6/totaal/MechanischeTransportleiding
http://data.gwsw.nl/1.6/totaal/Ontluchter,hasAspect,http://data.gwsw.nl/1.6/totaal/Appendage_orientatie
http://data.gwsw.nl/1.6/totaal/Ontluchter,hasAspect,http://data.gwsw.nl/1.6/totaal/Energieverliescoefficient
http://data.gwsw.nl/1.6/totaal/Lanceerpunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Pigging_installatie
http://data.gwsw.nl/1.6/totaal/Lanceerpunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Appendage_orientatie
http://data.gwsw.nl/1.6/totaal/Lanceerpunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Energieverliescoefficient
http://data.gwsw.nl/1.6/totaal/Zakbaak,isPartOf,http://data.gwsw.nl/1.6/totaal/Persleiding
http://data.gwsw.nl/1.6/totaal/Zakbaak,hasAspect,http://data.gwsw.nl/1.6/totaal/Appendage_orientatie
http://data.gwsw.nl/1.6/totaal/Mangat,isPartOf,http://data.gwsw.nl/1.6/totaal/MechanischeRioolleiding
http://data.gwsw.nl/1.6/totaal/Mangat,hasAspect,http://data.gwsw.nl/1.6/totaal/Appendage_orientatie
